mom 40.25337837837838
moc 28.742603550295858
neo 35.602787456445995
one 32.49433962264151
j22 36.549019607843135
bro 30.715328467153284
unf 38.368
sunf 33.041666666666664
40k 36.26190476190476
dmu 33.18250950570342
dmc 29.104575163398692
2x2 26.700325732899024
hbg 29.675925925925927
clb 32.540447504302925
snc 30.44
ncc 35.64435146443515
phed 31.352941176470587
nec 32.144444444444446
iko 27.82608695652174
ymid 34.857142857142854
vow 34.346715328467155
voc 31.830188679245282
mic 29.533333333333335
mid 34.943609022556394
j21 26.677419354838708
afc 31.41830065359477
afr 33.572490706319705
mh2 29.167832167832167
stx 30.03971119133574
c21 29.795
tsr 27.541353383458645
khm 32.83557046979866
khc 26.6625
cmr 27.087719298245613
znr 29.15267175572519
znc 30.322580645161292
2xm 23.792828685258964
jmp 17.826470588235296
m21 24.130434782608695
c20 30.883561643835616
und 30.83529411764706
thb 26.610169491525422
gn2 18.705882352941178
eld 26.27570093457944
c19 31.492753623188406
m20 22.75770925110132
mh1 26.79126213592233
war 27.25
rna 23.173076923076923
uma 23.20394736842105
grn 25.256410256410255
c18 31.338709677419356
m19 20.848684210526315
gs1 14.666666666666666
cm2 26.287128712871286
bbd 20.496932515337424
dom 24.198863636363637
a25 21.58823529411765
rix 25.486301369863014
ust 28.412037037037038
ima 22.263157894736842
ddt 23.944444444444443
xln 22.43
c17 30.32608695652174
hou 24.60810810810811
e01 26.975
cma 23.97
akh 24.663101604278076
mm3 22.718446601941746
aer 24.910344827586208
pca 28.627118644067796
c16 27.3
kld 23.310526315789474
cn2 25.584
emn 26.147435897435898
ema 18.774774774774773
soi 26.3265306122449
ogw 23.904411764705884
c15 28.581818181818182
bfz 24.71891891891892
ori 26.437956204379564
mm2 23.173553719008265
tpr 17.603960396039604
dtk 26.580459770114942
frf 25.045871559633028
c14 26.089285714285715
ktk 22.537974683544302
m15 24.23076923076923
vma 20.36
cns 25.350649350649352
jou 23.528
bng 25.552845528455286
c13 26.956521739130434
ths 24.412213740458014
m14 17.72222222222222
mma 25.764705882352942
dgm 25.135416666666668
gtc 21.675675675675677
rtr 20.782945736434108
m13 21.73611111111111
avr 21.362068965517242
ddi 22.857142857142858
dka 26.372340425531913
isd 21.26851851851852
m12 17.657894736842106
cmd 26.0
nph 23.11320754716981
mbs 19.819277108433734
me4 18.833333333333332
som 19.983333333333334
m11 18.6046511627907
roe 20.643564356435643
dde 20.794117647058822
wwk 22.91304347826087
zen 24.594059405940595
me3 19.09039548022599
hop 20.095238095238095
m10 16.15686274509804
arb 22.792207792207794
con 17.583333333333332
ala 19.13274336283186
me2 25.341463414634145
eve 24.896551724137932
shm 20.27659574468085
mor 29.094736842105263
lrw 25.393103448275863
me1 22.23076923076923
10e 17.381294964028775
fut 31.613333333333333
plc 29.23728813559322
tsp 27.564356435643564
tsb 23.9
csp 29.938053097345133
dis 25.28181818181818
gpt 21.375
rav 20.87074829931973
9ed 14.813559322033898
sok 24.354166666666668
bok 25.52671755725191
unh 26.1875
chk 22.566666666666666
5dn 21.44
dst 22.7196261682243
mrd 19.929032258064517
8ed 12.52
scg 24.470588235294116
lgn 22.11111111111111
ons 23.806930693069308
jud 21.76595744680851
tor 24.274509803921568
ody 20.395744680851063
apc 23.206521739130434
7ed 12.05
pls 23.57281553398058
inv 19.59375
pcy 18.126050420168067
nem 23.07547169811321
mmq 17.766393442622952
ptk 12.307692307692308
s99 9.583333333333334
uds 16.704545454545453
6ed 14.088235294117647
ulg 18.63157894736842
usg 19.926136363636363
ugl 33.109375
p02 10.142857142857142
exo 21.453333333333333
sth 20.928571428571427
tmp 21.923728813559322
wth 24.245283018867923
por 11.547169811320755
5ed 25.53030303030303
vis 26.778846153846153
mir 25.381165919282513
all 29.395833333333332
hml 23.352941176470587
ice 29.80916030534351
4ed 23.47457627118644
fem 34.0
drk 24.257142857142856
leg 25.975609756097562
